[2026-06-04 00:42:57.195] FAILED | Snorlax Lv14 | great_ball 1.5x | baseCR=25 modCR=19.6 | HP=71.4% | status=none 1.0x | turn=3
[2026-06-09 21:14:59.309] CAUGHT | Fletchling Lv20 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:15:26.419] CAUGHT | Grubbin Lv11 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:17:41.616] CAUGHT | Metapod Lv13 | quick_ball 1.0x | baseCR=120 modCR=40.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:18:25.828] CAUGHT | Igglybuff Lv1 | quick_ball 1.0x | baseCR=170 modCR=170.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:19:14.673] CAUGHT | Patrat Lv21 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:19:47.612] CAUGHT | Bidoof Lv11 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:20:29.906] FAILED | Vivillon Lv25 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:22:07.032] CAUGHT | Mareep Lv16 | quick_ball 1.0x | baseCR=235 modCR=78.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:25:05.959] CAUGHT | Sudowoodo Lv33 | quick_ball 1.0x | baseCR=65 modCR=21.7 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:47:31.857] FAILED | Sirfetch’d Lv34 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:47:57.987] FAILED | Sirfetch’d Lv34 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:49:13.463] FAILED | Sirfetch’d Lv34 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:51:26.903] FAILED | Snover Lv29 | quick_ball 1.0x | baseCR=120 modCR=40.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:51:58.580] FAILED | Snover Lv29 | quick_ball 1.0x | baseCR=120 modCR=40.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:55:36.528] CAUGHT | Nacli Lv9 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 22:01:14.100] CAUGHT | Torkoal Lv29 | quick_ball 1.0x | baseCR=90 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 22:01:55.805] CAUGHT | Swinub Lv24 | quick_ball 1.0x | baseCR=225 modCR=75.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 22:02:24.300] CAUGHT | Swinub Lv6 | quick_ball 1.0x | baseCR=225 modCR=150.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 22:11:38.261] CAUGHT | Chikorita Lv8 | quick_ball 1.0x | baseCR=45 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 22:31:05.320] FAILED | Jirachi Lv33 | quick_ball 1.0x | baseCR=3 modCR=1.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 22:32:04.592] CAUGHT | Jirachi Lv33 | ultra_ball 2.0x | baseCR=3 modCR=4.0 | HP=49.2% | status=none 1.0x | turn=8
[2026-06-09 23:35:43.153] CAUGHT | Yamper Lv18 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 23:52:57.304] CAUGHT | Bronzong Lv59 | quick_ball 1.0x | baseCR=90 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-10 04:15:15.703] CAUGHT | Shinx Lv7 | quick_ball 1.0x | baseCR=235 modCR=156.7 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-10 04:20:35.987] FAILED | Heracross Lv39 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-10 16:02:02.379] CAUGHT | Natu Lv11 | quick_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-10 16:03:17.222] CAUGHT | Basculin Lv31 | quick_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-10 19:03:46.601] CAUGHT | Garganacl Lv56 | quick_ball 1.0x | baseCR=45 modCR=16.5 | HP=94.9% | status=none 1.0x | turn=1
[2026-06-11 00:47:24.341] FAILED | ironflare Lv61 | quick_ball 1.0x | baseCR=~3 modCR=1.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-11 01:22:38.688] CAUGHT | Salandit Lv9 | quick_ball 1.0x | baseCR=120 modCR=40.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-12 02:42:50.428] CAUGHT | Marill Lv34 | quick_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-14 00:09:19.325] CAUGHT | Onix Lv29 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-26 18:24:13.367] CAUGHT | Rattata Lv10 | quick_ball 1.0x | baseCR=255 modCR=212.5 | HP=100.0% | status=sleep 2.5x | turn=1
